"","Region","Province","CityProvince","Barangay","Population","HouseholdPopulation","Nhouseholds","Area","BrgyCount","BrgyArea","BrgyDensity"
"164","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AL-BARKA","Magcawa",2094,2031,403,36650.95,2081,17.6121816434407,118.894980894083
"153","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AL-BARKA","Bucalao",1923,1923,366,36650.95,2081,17.6121816434407,109.185791909896
"162","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AL-BARKA","Lookbisaya (Kaulungan Island)",1564,1564,235,36650.95,2081,17.6121816434407,88.8021729313974
"157","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","BASILAN","AL-BARKA","Kailih",1520,1520,272,36650.95,2081,17.6121816434407,86.303902081665
"19340","REGION IV-A – CALABARZON","QUEZON","ALABAT","Barangay 3 (Pob.)",2039,2039,446,16576.26,2968,5.58499326145552,365.085489730494
"19341","REGION IV-A – CALABARZON","QUEZON","ALABAT","Barangay 4 (Pob.)",1486,1485,340,16576.26,2968,5.58499326145552,266.070150926687
"19339","REGION IV-A – CALABARZON","QUEZON","ALABAT","Barangay 2 (Pob.)",1362,1359,299,16576.26,2968,5.58499326145552,243.8677964752
"19334","REGION IV-A – CALABARZON","QUEZON","ALABAT","Camagong",1232,1231,272,16576.26,2968,5.58499326145552,220.591134550254
"19338","REGION IV-A – CALABARZON","QUEZON","ALABAT","Barangay 1 (Pob.)",1137,1131,233,16576.26,2968,5.58499326145552,203.581266220486
"40595","REGION XII - SOCCSKSARGEN","SARANGANI","ALABEL (Capital)","Poblacion (Alabel)",18104,18104,4360,22786.08,1088,20.9430882352941,864.437937547836
"40586","REGION XII - SOCCSKSARGEN","SARANGANI","ALABEL (Capital)","Alegria",7848,7848,1602,22786.08,1088,20.9430882352941,374.729835057193
"40589","REGION XII - SOCCSKSARGEN","SARANGANI","ALABEL (Capital)","Datal Anggas",7672,7661,1587,22786.08,1088,20.9430882352941,366.326107869366
"40593","REGION XII - SOCCSKSARGEN","SARANGANI","ALABEL (Capital)","Pag-Asa",7587,7587,1745,22786.08,1088,20.9430882352941,362.267489625245
"40592","REGION XII - SOCCSKSARGEN","SARANGANI","ALABEL (Capital)","Maribulan",6526,6526,1470,22786.08,1088,20.9430882352941,311.606384248629
"39572","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALAMADA","Dado",11800,11799,2912,22786.08,1088,20.9430882352941,563.431709183852
"39569","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALAMADA","Bao",9595,9595,2048,22786.08,1088,20.9430882352941,458.146377086361
"39573","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALAMADA","Guiling",5424,5424,1224,22786.08,1088,20.9430882352941,258.987592424849
"39574","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALAMADA","Kitacubong (Pob.)",5297,5263,1271,22786.08,1088,20.9430882352941,252.923539283633
"39570","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALAMADA","Barangiran",4706,4706,1054,22786.08,1088,20.9430882352941,224.704205374509
"18644","REGION IV-A – CALABARZON","LAGUNA","ALAMINOS","San Benito",6280,6268,1468,16576.26,2968,5.58499326145552,1124.44182222045
"18642","REGION IV-A – CALABARZON","LAGUNA","ALAMINOS","San Agustin",5675,5675,1293,16576.26,2968,5.58499326145552,1016.11581864667
"18641","REGION IV-A – CALABARZON","LAGUNA","ALAMINOS","Barangay IV (Pob.)",3388,3388,801,16576.26,2968,5.58499326145552,606.6256200132
"18638","REGION IV-A – CALABARZON","LAGUNA","ALAMINOS","Barangay I (Pob.)",3366,3366,845,16576.26,2968,5.58499326145552,602.686492610517
"18645","REGION IV-A – CALABARZON","LAGUNA","ALAMINOS","San Gregorio",3315,3315,919,16576.26,2968,5.58499326145552,593.554879086115
"32646","REGION VIII - EASTERN VISAYAS","LEYTE","ALANGALANG","Mudboron",2313,2313,516,23234.78,3102,7.49025789813024,308.80111625761
"32620","REGION VIII - EASTERN VISAYAS","LEYTE","ALANGALANG","Binongto-an",2277,2277,521,23234.78,3102,7.49025789813024,303.994873203017
"32657","REGION VIII - EASTERN VISAYAS","LEYTE","ALANGALANG","San Vicente",2237,2237,484,23234.78,3102,7.49025789813024,298.654603142358
"32642","REGION VIII - EASTERN VISAYAS","LEYTE","ALANGALANG","Lingayon",1794,1794,421,23234.78,3102,7.49025789813024,239.511112220559
"32635","REGION VIII - EASTERN VISAYAS","LEYTE","ALANGALANG","Dapdap",1721,1721,406,23234.78,3102,7.49025789813024,229.765119359856
"32679","REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","Poblacion",9454,9454,2185,23234.78,3102,7.49025789813024,1262.17282883677
"32672","REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","Balugo",4823,4823,1161,23234.78,3102,7.49025789813024,643.903062563967
"32675","REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","Damula-an",4017,4017,1017,23234.78,3102,7.49025789813024,536.296620841686
"32681","REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","San Pedro",3966,3966,937,23234.78,3102,7.49025789813024,529.487776514346
"32686","REGION VIII - EASTERN VISAYAS","LEYTE","ALBUERA","Tinag-an",3260,3260,805,23234.78,3102,7.49025789813024,435.232009943714
"29515","REGION VII - CENTRAL VISAYAS","BOHOL","ALBURQUERQUE","East Poblacion",2046,2038,470,10452.01,1866,5.60129153269025,365.272899662362
"29516","REGION VII - CENTRAL VISAYAS","BOHOL","ALBURQUERQUE","Ponong",1225,1225,271,10452.01,1866,5.60129153269025,218.699561137044
"29521","REGION VII - CENTRAL VISAYAS","BOHOL","ALBURQUERQUE","West Poblacion",1115,1091,251,10452.01,1866,5.60129153269025,199.061233198208
"29511","REGION VII - CENTRAL VISAYAS","BOHOL","ALBURQUERQUE","Bahi",928,928,212,10452.01,1866,5.60129153269025,165.676075702186
"29518","REGION VII - CENTRAL VISAYAS","BOHOL","ALBURQUERQUE","Santa Filomena",914,914,216,10452.01,1866,5.60129153269025,163.176652146334
"10043","REGION I - ILOCOS","PANGASINAN","ALCALA","San Vicente",4239,4239,1144,12964.62,2609,4.96919126101955,853.056317886679
"10041","REGION I - ILOCOS","PANGASINAN","ALCALA","San Pedro Apartado",3606,3606,809,12964.62,2609,4.96919126101955,725.671404175363
"10026","REGION I - ILOCOS","PANGASINAN","ALCALA","Bersamin",3498,3498,827,12964.62,2609,4.96919126101955,703.937485248314
"10042","REGION I - ILOCOS","PANGASINAN","ALCALA","San Pedro III",3410,3404,828,12964.62,2609,4.96919126101955,686.22836612257
"10031","REGION I - ILOCOS","PANGASINAN","ALCALA","Kasikis",3170,3170,711,12964.62,2609,4.96919126101955,637.930768506906
"30625","REGION VII - CENTRAL VISAYAS","CEBU","ALCANTARA","Palanas",2651,2651,619,10452.01,1866,5.60129153269025,473.283703325963
"30626","REGION VII - CENTRAL VISAYAS","CEBU","ALCANTARA","Poblacion",2440,2435,533,10452.01,1866,5.60129153269025,435.613819734195
"30622","REGION VII - CENTRAL VISAYAS","CEBU","ALCANTARA","Candabong",2421,2421,541,10452.01,1866,5.60129153269025,432.221744908396
"30624","REGION VII - CENTRAL VISAYAS","CEBU","ALCANTARA","Manga",1995,1995,433,10452.01,1866,5.60129153269025,356.167856708901
"30623","REGION VII - CENTRAL VISAYAS","CEBU","ALCANTARA","Lawaan",1706,1706,424,10452.01,1866,5.60129153269025,304.572613305957
"30634","REGION VII - CENTRAL VISAYAS","CEBU","ALCOY","Poblacion",3610,3610,737,10452.01,1866,5.60129153269025,644.494216901821
"30632","REGION VII - CENTRAL VISAYAS","CEBU","ALCOY","Nug-as",3289,3289,631,10452.01,1866,5.60129153269025,587.186005371216
"30635","REGION VII - CENTRAL VISAYAS","CEBU","ALCOY","Pugalo",2606,2606,543,10452.01,1866,5.60129153269025,465.249841896439
"30630","REGION VII - CENTRAL VISAYAS","CEBU","ALCOY","Daan-Lungsod",1863,1863,381,10452.01,1866,5.60129153269025,332.601863182297
"30633","REGION VII - CENTRAL VISAYAS","CEBU","ALCOY","Pasol",1789,1789,331,10452.01,1866,5.60129153269025,319.39062438708
"30641","REGION VII - CENTRAL VISAYAS","CEBU","ALEGRIA","Madridejos",5141,5103,1035,10452.01,1866,5.60129153269025,917.824035759629
"30645","REGION VII - CENTRAL VISAYAS","CEBU","ALEGRIA","Valencia",3195,3195,747,10452.01,1866,5.60129153269025,570.40416149621
"30644","REGION VII - CENTRAL VISAYAS","CEBU","ALEGRIA","Santa Filomena",3194,3194,613,10452.01,1866,5.60129153269025,570.22563124222
"30638","REGION VII - CENTRAL VISAYAS","CEBU","ALEGRIA","Guadalupe",2606,2606,575,10452.01,1866,5.60129153269025,465.249841896439
"30643","REGION VII - CENTRAL VISAYAS","CEBU","ALEGRIA","Poblacion",2450,2450,523,10452.01,1866,5.60129153269025,437.399122274089
"40079","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALEOSAN","San Mateo",4739,4735,1097,22786.08,1088,20.9430882352941,226.279904222227
"40067","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALEOSAN","Dualing",2998,2998,705,22786.08,1088,20.9430882352941,143.149852892643
"40075","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALEOSAN","New Panay",2934,2934,636,22786.08,1088,20.9430882352941,140.09395209707
"40076","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALEOSAN","Pagangan",2907,2907,631,22786.08,1088,20.9430882352941,138.804743948937
"40068","REGION XII - SOCCSKSARGEN","COTABATO (NORTH COTABATO)","ALEOSAN","Dunguan",2805,2805,589,22786.08,1088,20.9430882352941,133.934402055992
"17816","REGION IV-A – CALABARZON","CAVITE","ALFONSO","Luksuhin",4253,4253,958,16576.26,2968,5.58499326145552,761.504947436877
"17818","REGION IV-A – CALABARZON","CAVITE","ALFONSO","Marahan I",2700,2700,594,16576.26,2968,5.58499326145552,483.438363056564
"17813","REGION IV-A – CALABARZON","CAVITE","ALFONSO","Buck Estate",2681,2661,614,16576.26,2968,5.58499326145552,480.036389390611
"17817","REGION IV-A – CALABARZON","CAVITE","ALFONSO","Mangas I",2334,2334,544,16576.26,2968,5.58499326145552,417.905607175563
"17825","REGION IV-A – CALABARZON","CAVITE","ALFONSO","Taywanak Ibaba",2077,2077,445,16576.26,2968,5.58499326145552,371.889437062401
"13493","REGION II - CAGAYAN VALLEY","NUEVA VIZCAYA","ALFONSO CASTANEDA","Lublub (Pob.)",3634,3634,858,29836.88,1886,15.8201908801697,229.706457243519
"13489","REGION II - CAGAYAN VALLEY","NUEVA VIZCAYA","ALFONSO CASTANEDA","Abuyo",1521,1521,367,29836.88,1886,15.8201908801697,96.1429613283963
"13494","REGION II - CAGAYAN VALLEY","NUEVA VIZCAYA","ALFONSO CASTANEDA","Pelaway",1190,1190,232,29836.88,1886,15.8201908801697,75.2203313483179
"13490","REGION II - CAGAYAN VALLEY","NUEVA VIZCAYA","ALFONSO CASTANEDA","Galintuja",770,770,175,29836.88,1886,15.8201908801697,48.6719791077351
"13491","REGION II - CAGAYAN VALLEY","NUEVA VIZCAYA","ALFONSO CASTANEDA","Cauayan",415,415,81,29836.88,1886,15.8201908801697,26.2323004281949
"3184","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","ALFONSO LISTA (POTIA)","Santa Maria",4920,4882,1130,19818.12,1079,18.3671177015755,267.870009869756
"3178","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","ALFONSO LISTA (POTIA)","Pinto",3106,3106,666,19818.12,1079,18.3671177015755,169.106555011273
"3175","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","ALFONSO LISTA (POTIA)","Kiling",2283,2283,523,19818.12,1079,18.3671177015755,124.298217994441
"3177","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","ALFONSO LISTA (POTIA)","Namillangan",2218,2218,510,19818.12,1079,18.3671177015755,120.759284937219
"3179","CORDILLERA ADMINISTRATIVE REGION","IFUGAO","ALFONSO LISTA (POTIA)","Poblacion",1962,1962,456,19818.12,1079,18.3671177015755,106.821333204159
"14434","REGION III - CENTRAL LUZON","NUEVA ECIJA","ALIAGA","Bibiclat",7467,7467,1638,21906.19,2268,9.6588139329806,773.076285743893
"14435","REGION III - CENTRAL LUZON","NUEVA ECIJA","ALIAGA","Bucot",5156,5156,1129,21906.19,2268,9.6588139329806,533.812954238049
"14456","REGION III - CENTRAL LUZON","NUEVA ECIJA","ALIAGA","Santo Tomas",5117,5117,1146,21906.19,2268,9.6588139329806,529.775191395674
"14450","REGION III - CENTRAL LUZON","NUEVA ECIJA","ALIAGA","San Juan",4768,4768,1067,21906.19,2268,9.6588139329806,493.642390575449
"14458","REGION III - CENTRAL LUZON","NUEVA ECIJA","ALIAGA","Umangan",3705,3705,803,21906.19,2268,9.6588139329806,383.587470025596
"29532","REGION VII - CENTRAL VISAYAS","BOHOL","ALICIA","Poblacion (Calingganay)",4214,4214,986,10452.01,1866,5.60129153269025,752.326490311433
"29528","REGION VII - CENTRAL VISAYAS","BOHOL","ALICIA","La Hacienda",3758,3742,758,10452.01,1866,5.60129153269025,670.916694492256
"29527","REGION VII - CENTRAL VISAYAS","BOHOL","ALICIA","Katipunan",2317,2317,444,10452.01,1866,5.60129153269025,413.654598493496
"22279","REGION IX - ZAMBOANGA PENINSULA","ZAMBOANGA SIBUGAY","ALICIA","Poblacion",3978,3978,822,16904.03,1576,10.7259073604061,370.877713775946
"12183","REGION II - CAGAYAN VALLEY","ISABELA ","ALICIA","Paddad",5616,5616,1306,29836.88,1886,15.8201908801697,354.989395674078
"8608","REGION I - ILOCOS","ILOCOS SUR","ALILEM","Alilem Daya (Pob.)",1575,1568,372,12964.62,2609,4.96919126101955,316.9529843528
"8615","REGION I - ILOCOS","ILOCOS SUR","ALILEM","Dalawa",1241,1241,269,12964.62,2609,4.96919126101955,249.738827671
"8610","REGION I - ILOCOS","ILOCOS SUR","ALILEM","Anaao",772,772,181,12964.62,2609,4.96919126101955,155.357272330388
"8614","REGION I - ILOCOS","ILOCOS SUR","ALILEM","Daddaay",608,608,131,12964.62,2609,4.96919126101955,122.353913959684
"8612","REGION I - ILOCOS","ILOCOS SUR","ALILEM","Apaya",531,531,101,12964.62,2609,4.96919126101955,106.858434724658
"27596","REGION VI - WESTERN VISAYAS","ILOILO","ALIMODIAN","Poblacion",8770,8763,1803,12773.46,2724,4.68922907488987,1870.24345791978
"27555","REGION VI - WESTERN VISAYAS","ILOILO","ALIMODIAN","Bancal",1751,1751,386,12773.46,2724,4.68922907488987,373.408927573265
"27585","REGION VI - WESTERN VISAYAS","ILOILO","ALIMODIAN","Sinamay",1401,1401,306,12773.46,2724,4.68922907488987,298.769792992658
"27587","REGION VI - WESTERN VISAYAS","ILOILO","ALIMODIAN","Taban-Manguining",1168,1168,268,12773.46,2724,4.68922907488987,249.081454828997
"27580","REGION VI - WESTERN VISAYAS","ILOILO","ALIMODIAN","Pajo",1063,1063,236,12773.46,2724,4.68922907488987,226.689714454815
"16764","REGION IV-A – CALABARZON","BATANGAS","ALITAGTAG","Poblacion West",2445,2445,520,16576.26,2968,5.58499326145552,437.780295434555
"16765","REGION IV-A – CALABARZON","BATANGAS","ALITAGTAG","San Jose",2418,2418,507,16576.26,2968,5.58499326145552,432.94591180399
"16760","REGION IV-A – CALABARZON","BATANGAS","ALITAGTAG","Muzon Segundo",2288,2288,484,16576.26,2968,5.58499326145552,409.669249879044
"16759","REGION IV-A – CALABARZON","BATANGAS","ALITAGTAG","Muzon Primero",2283,2283,462,16576.26,2968,5.58499326145552,408.773993651161
"16762","REGION IV-A – CALABARZON","BATANGAS","ALITAGTAG","Ping-As",1442,1442,312,16576.26,2968,5.58499326145552,258.191896121321
"11409","REGION II - CAGAYAN VALLEY","CAGAYAN","ALLACAPAN","Matucay",2415,2415,522,29836.88,1886,15.8201908801697,152.653025383351
"11398","REGION II - CAGAYAN VALLEY","CAGAYAN","ALLACAPAN","Cataratan",2040,2033,401,29836.88,1886,15.8201908801697,128.949139454259
"11400","REGION II - CAGAYAN VALLEY","CAGAYAN","ALLACAPAN","Centro West (Pob.)",2040,2037,442,29836.88,1886,15.8201908801697,128.949139454259
"11405","REGION II - CAGAYAN VALLEY","CAGAYAN","ALLACAPAN","Iringan",1801,1801,422,29836.88,1886,15.8201908801697,113.841862822118
